KPI_1,KPI_4,KPI_5,KPI_6,KPI_9,KPI_10,KPI_11,KPI_12,KPI_15,KPI_16
0.073,6453368.130,2105639.592,17358.951,20861.000,0.000,0.000,13.000,6453.368,2105.640
0.105,15260846.377,615461.530,27720.275,17620.000,0.000,0.000,14.000,15260.846,615.462
0.058,1699289.819,158529.586,10404.585,8871.000,0.000,0.000,9.000,1699.290,158.530
0.207,23825977.943,1283661.567,20969.075,20816.000,0.000,0.000,25.000,23825.978,1283.662
0.024,1988918.313,247097.794,12647.637,17657.000,0.000,0.000,7.000,1988.918,247.098
0.042,1511608.717,119914.897,17757.414,9445.000,0.000,0.000,8.000,1511.609,119.915
0.051,635148.484,59341.867,12143.344,16845.000,0.000,0.000,5.000,635.148,59.342
0.395,41838046.883,2050643.300,32009.076,59563.000,0.000,0.000,42.000,41838.047,2050.643
0.122,2886487.148,307330.104,7268.741,16585.000,0.000,0.000,15.000,2886.487,307.330
0.205,17652769.125,695021.848,12211.082,27896.000,0.000,0.000,15.000,17652.769,695.022
1.176,85819637.992,4262194.573,22772.329,25440.000,0.000,0.000,64.000,85819.638,4262.195
0.018,971815.594,76578.345,13508.508,12256.000,0.000,0.000,6.000,971.816,76.578
0.343,22694268.625,2842970.504,13277.666,21719.000,0.000,0.000,46.000,22694.269,2842.971
0.274,20969539.750,1960505.580,14179.052,21515.000,0.000,0.000,26.000,20969.540,1960.506
0.016,1882759.031,133810.547,20128.952,20246.000,0.000,0.000,10.000,1882.759,133.811
